"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2021-04-25,889829.999913574,794267.822241845,0,95562.177671729,49303250.2800685,0.09,12156.9658224826,2212.843798,51.7323084930038,"in-between"
2021-04-26,20600,24711.138538336,0,-4111.138538336,49299139.1415302,0.09,12155.9521170896,2307.355321,55.7389281453419,"in-between"
2021-04-27,0,8918.059341795,0,-8918.059341795,49290221.0821884,0.09,12153.7531435533,2532.386803,63.506426689155,"in-between"
2021-04-28,5316779.19451562,711187.315712289,16061946.9026547,-11456355.0238514,37833866.058337,0.09,9328.89848013789,2647.15819,66.7148037908691,"in-between"
2021-04-29,726648.32542257,626513.761513876,0,100134.563908694,37934000.6222457,0.1,10392.876882807,2748.784585,69.2894315469934,"in-between"
2021-04-30,3395000,5478896.73900688,0,-2083896.73900688,35850103.8832388,0.1,9821.9462693805,2757.497552,69.5072049276614,"in-between"
2021-05-01,3110061.95741397,4370362.67126138,0,-1260300.71384741,34589803.1693914,0.1,9476.658402573,2776.703712,70.0120097047563,"Overbought"
2021-05-02,1152968.42165425,135469.119829857,0,1017499.30182439,35607302.4712158,0.1,9755.42533457968,2944.916947,74.0621050875918,"Overbought"
2021-05-03,8763850.40579025,847555.579558831,0,7916294.82623141,43523597.2974472,0.1,11924.2732321773,2953.297348,74.2487028025302,"Overbought"
2021-05-04,5976618.76913594,7813138.42315313,0,-1836519.65401719,41687077.64343,0.1,11421.1171625836,3439.85507,82.2381159287468,"Overbought"
2021-05-05,3353476.44709192,842714.034009449,0,2510762.41308247,44197840.0565125,0.1,12108.9972757569,3245.663149,72.5618934300903,"Overbought"
2021-05-06,4855108.2352894,2653030.73666841,0,2202077.49862099,46399917.5551335,0.1,12712.3061794886,3524.562728,76.7864048147011,"Overbought"
2021-05-07,2310844.34858895,1983102.84904769,0,327741.499541253,46727659.0546748,0.1,12802.0983711438,3495.075869,75.4635118820119,"Overbought"
